#/global/homes/j/joeschm/st_research/NSTXU_discharges/139047/NSTXU139047.iterdb
#rhot VROT
7.006873999999999958e-04 4.818640999999999767e+05
9.504379999999999556e-04 4.774535000000000000e+05
1.200188999999999943e-03 4.731487999999999884e+05
1.449938999999999915e-03 4.689452999999999884e+05
1.699690000000000012e-03 4.648387999999999884e+05
1.949439999999999984e-03 4.608250000000000000e+05
2.199191000000000080e-03 4.569002000000000116e+05
2.448941000000000052e-03 4.530607000000000116e+05
2.698691999999999931e-03 4.493030999999999767e+05
2.948441999999999903e-03 4.456242999999999884e+05
3.198193000000000216e-03 4.420210999999999767e+05
3.447943000000000188e-03 4.384907000000000116e+05
3.697694000000000068e-03 4.350304000000000233e+05
3.947443999999999606e-03 4.316375999999999767e+05
4.197194999999999919e-03 4.283097999999999884e+05
4.446944999999999891e-03 4.250447000000000116e+05
4.696696000000000204e-03 4.218402000000000116e+05
4.946446999999999650e-03 4.186942000000000116e+05
5.196196999999999622e-03 4.156045999999999767e+05
5.445947999999999935e-03 4.125695999999999767e+05
5.695697999999999907e-03 4.095875000000000000e+05
5.945449000000000220e-03 4.066564000000000233e+05
6.195199000000000192e-03 4.037747999999999884e+05
6.444949999999999637e-03 4.009410999999999767e+05
6.694699999999999609e-03 3.981539000000000233e+05
6.944450999999999923e-03 3.954117000000000116e+05
7.194200999999999895e-03 3.927132000000000116e+05
7.443952000000000208e-03 3.900570000000000000e+05
7.693702000000000180e-03 3.874420999999999767e+05
7.943452999999999625e-03 3.848670999999999767e+05
8.193204000000000806e-03 3.823310000000000000e+05
8.442954000000000778e-03 3.798327000000000116e+05
8.692705000000000223e-03 3.773710999999999767e+05
8.942455000000000195e-03 3.749452999999999884e+05
9.192205999999999641e-03 3.725542999999999884e+05
9.441955999999999613e-03 3.701972000000000116e+05
9.691707000000000793e-03 3.678730999999999767e+05
9.941457000000000765e-03 3.655812000000000116e+05
1.019120999999999916e-02 3.633207000000000116e+05
1.044096000000000087e-02 3.610907000000000116e+05
1.069071000000000084e-02 3.588907000000000116e+05
1.094046000000000081e-02 3.567197000000000116e+05
1.119021000000000078e-02 3.545772000000000116e+05
1.143996000000000075e-02 3.524625000000000000e+05
1.168971000000000073e-02 3.503749000000000233e+05
1.193946000000000070e-02 3.483139000000000233e+05
1.218921000000000067e-02 3.462787000000000116e+05
1.243896000000000064e-02 3.442689000000000233e+05
1.268871000000000061e-02 3.422840000000000000e+05
1.293846000000000059e-02 3.403232000000000116e+05
1.318821000000000056e-02 3.383862999999999884e+05
1.343796000000000053e-02 3.364725000000000000e+05
1.368772000000000044e-02 3.345815999999999767e+05
1.393747000000000041e-02 3.327129000000000233e+05
1.418722000000000039e-02 3.308660999999999767e+05
1.443697000000000036e-02 3.290407000000000116e+05
1.468672000000000033e-02 3.272364000000000233e+05
1.493647000000000030e-02 3.254525999999999767e+05
1.518622000000000027e-02 3.236890000000000000e+05
1.543597000000000025e-02 3.219452000000000116e+05
1.568572000000000022e-02 3.202209000000000233e+05
1.593547000000000019e-02 3.185155999999999767e+05
1.618522000000000016e-02 3.168290999999999767e+05
1.643497000000000013e-02 3.151610000000000000e+05
1.668472000000000011e-02 3.135110000000000000e+05
1.693447000000000008e-02 3.118787000000000116e+05
1.718422000000000005e-02 3.102640000000000000e+05
1.743397000000000002e-02 3.086662999999999884e+05
1.768371999999999999e-02 3.070855000000000000e+05
1.793346999999999997e-02 3.055214000000000233e+05
1.818323000000000161e-02 3.039735000000000000e+05
1.843298000000000159e-02 3.024417000000000116e+05
1.868273000000000156e-02 3.009255999999999767e+05
1.893248000000000153e-02 2.994252000000000116e+05
1.918223000000000150e-02 2.979400000000000000e+05
1.943198000000000147e-02 2.964697999999999884e+05
1.968173000000000145e-02 2.950145999999999767e+05
1.993148000000000142e-02 2.935739000000000233e+05
2.018123000000000139e-02 2.921475999999999767e+05
2.043098000000000136e-02 2.907354000000000233e+05
2.068073000000000133e-02 2.893372999999999884e+05
2.093048000000000131e-02 2.879529000000000233e+05
2.118023000000000128e-02 2.865820999999999767e+05
2.142998000000000125e-02 2.852245999999999767e+05
2.167973000000000122e-02 2.838804000000000233e+05
2.192948000000000119e-02 2.825490999999999767e+05
2.217923000000000117e-02 2.812307000000000116e+05
2.242898000000000114e-02 2.799250000000000000e+05
2.267873000000000111e-02 2.786317000000000116e+05
2.292848999999999929e-02 2.773507999999999884e+05
2.317823999999999926e-02 2.760820999999999767e+05
2.342798999999999923e-02 2.748252999999999884e+05
2.367773999999999920e-02 2.735804000000000233e+05
2.392748999999999918e-02 2.723472000000000116e+05
2.417723999999999915e-02 2.711255999999999767e+05
2.442698999999999912e-02 2.699154000000000233e+05
2.467673999999999909e-02 2.687165000000000000e+05
2.492648999999999906e-02 2.675287000000000116e+05
2.517623999999999904e-02 2.663519000000000233e+05
2.542598999999999901e-02 2.651860999999999767e+05
2.567573999999999898e-02 2.640309000000000233e+05
2.592548999999999895e-02 2.628864000000000233e+05
2.617523999999999892e-02 2.617523999999999942e+05
2.642498999999999890e-02 2.606287999999999884e+05
2.667473999999999887e-02 2.595153999999999942e+05
2.692448999999999884e-02 2.584122999999999884e+05
2.717423999999999881e-02 2.573191000000000058e+05
2.742398999999999878e-02 2.562358999999999942e+05
2.767375000000000043e-02 2.551625000000000000e+05
2.792350000000000040e-02 2.540988999999999942e+05
2.817325000000000038e-02 2.530447999999999884e+05
2.842300000000000035e-02 2.520002999999999884e+05
2.867275000000000032e-02 2.509652000000000116e+05
2.892250000000000029e-02 2.499395000000000000e+05
2.917225000000000026e-02 2.489228999999999942e+05
2.942200000000000024e-02 2.479155000000000000e+05
2.967175000000000021e-02 2.469172000000000116e+05
2.992150000000000018e-02 2.459277999999999884e+05
3.017125000000000015e-02 2.449472999999999884e+05
3.042100000000000012e-02 2.439755000000000000e+05
3.067075000000000010e-02 2.430125000000000000e+05
3.092050000000000007e-02 2.420581000000000058e+05
3.117025000000000004e-02 2.411122000000000116e+05
3.141999999999999654e-02 2.401747999999999884e+05
3.166975000000000345e-02 2.392457000000000116e+05
3.191950000000000343e-02 2.383250000000000000e+05
3.216925999999999813e-02 2.374125000000000000e+05
3.241900999999999811e-02 2.365081000000000058e+05
3.266875999999999808e-02 2.356117999999999884e+05
3.291850999999999805e-02 2.347235000000000000e+05
3.316825999999999802e-02 2.338432000000000116e+05
3.341800999999999799e-02 2.329707000000000116e+05
3.366775999999999797e-02 2.321061000000000058e+05
3.391750999999999794e-02 2.312492000000000116e+05
3.416725999999999791e-02 2.303998999999999942e+05
3.441700999999999788e-02 2.295582999999999884e+05
3.466675999999999785e-02 2.287242000000000116e+05
3.491650999999999783e-02 2.278975000000000000e+05
3.516625999999999780e-02 2.270782999999999884e+05
3.541600999999999777e-02 2.262665000000000000e+05
3.566575999999999774e-02 2.254618999999999942e+05
3.591550999999999771e-02 2.246646000000000058e+05
3.616525999999999769e-02 2.238745000000000000e+05
3.641500999999999766e-02 2.230915000000000000e+05
3.666475999999999763e-02 2.223156000000000058e+05
3.691451999999999928e-02 2.215467999999999884e+05
3.716426999999999925e-02 2.207847999999999884e+05
3.741401999999999922e-02 2.200297999999999884e+05
3.766376999999999919e-02 2.192817000000000116e+05
3.791351999999999917e-02 2.185402999999999884e+05
3.816326999999999914e-02 2.178057999999999884e+05
3.841301999999999911e-02 2.170778999999999942e+05
3.866276999999999908e-02 2.163567000000000116e+05
3.891251999999999905e-02 2.156421000000000058e+05
3.916226999999999903e-02 2.149340000000000000e+05
3.941201999999999900e-02 2.142323999999999942e+05
3.966176999999999897e-02 2.135372999999999884e+05
3.991151999999999894e-02 2.128485000000000000e+05
4.016126999999999891e-02 2.121660000000000000e+05
4.041101999999999889e-02 2.114897000000000116e+05
4.066076999999999886e-02 2.108196000000000058e+05
4.091051999999999883e-02 2.101556000000000058e+05
4.116026999999999880e-02 2.094977000000000116e+05
4.141003000000000045e-02 2.088457999999999884e+05
4.165978000000000042e-02 2.081998999999999942e+05
4.190953000000000039e-02 2.075598999999999942e+05
4.215928000000000037e-02 2.069257000000000116e+05
4.240903000000000034e-02 2.062972999999999884e+05
4.265878000000000031e-02 2.056746000000000058e+05
4.290853000000000028e-02 2.050577000000000116e+05
4.315828000000000025e-02 2.044462999999999884e+05
4.340803000000000023e-02 2.038406000000000058e+05
4.365778000000000020e-02 2.032403999999999942e+05
4.390753000000000017e-02 2.026457999999999884e+05
4.415728000000000014e-02 2.020565000000000000e+05
4.440703000000000011e-02 2.014727000000000116e+05
4.465678000000000009e-02 2.008942999999999884e+05
4.490653000000000006e-02 2.003211000000000058e+05
4.515628000000000003e-02 1.997532999999999884e+05
4.540603000000000000e-02 1.991906000000000058e+05
4.565577999999999997e-02 1.986332000000000116e+05
4.590552999999999995e-02 1.980808999999999942e+05
4.615529000000000159e-02 1.975337000000000116e+05
4.640504000000000157e-02 1.969915000000000000e+05
4.665479000000000154e-02 1.964543999999999942e+05
4.690454000000000151e-02 1.959222999999999884e+05
4.715429000000000148e-02 1.953951000000000058e+05
4.740404000000000145e-02 1.948727999999999884e+05
4.765379000000000143e-02 1.943553999999999942e+05
4.790354000000000140e-02 1.938427000000000116e+05
4.815329000000000137e-02 1.933348999999999942e+05
4.840304000000000134e-02 1.928318999999999942e+05
4.865279000000000131e-02 1.923335000000000000e+05
4.890254000000000129e-02 1.918398999999999942e+05
4.915229000000000126e-02 1.913508999999999942e+05
4.940204000000000123e-02 1.908665000000000000e+05
4.965179000000000120e-02 1.903867000000000116e+05
4.990154000000000117e-02 1.899113999999999942e+05
5.015129000000000115e-02 1.894407000000000116e+05
5.040104000000000112e-02 1.889743999999999942e+05
5.065079000000000109e-02 1.885125000000000000e+05
5.090055000000000274e-02 1.880551000000000058e+05
5.115030000000000271e-02 1.876021000000000058e+05
5.140005000000000268e-02 1.871533999999999942e+05
5.164980000000000265e-02 1.867090000000000000e+05
5.189955000000000263e-02 1.862690000000000000e+05
5.214930000000000260e-02 1.858331000000000058e+05
5.239905000000000257e-02 1.854015000000000000e+05
5.264880000000000254e-02 1.849740000000000000e+05
5.289855000000000251e-02 1.845507000000000116e+05
5.314830000000000249e-02 1.841316000000000058e+05
5.339805000000000246e-02 1.837165000000000000e+05
5.364780000000000243e-02 1.833053999999999942e+05
5.389755000000000240e-02 1.828983999999999942e+05
5.414730000000000237e-02 1.824953999999999942e+05
5.439705000000000235e-02 1.820962999999999884e+05
5.464680000000000232e-02 1.817012000000000116e+05
5.489655000000000229e-02 1.813100000000000000e+05
5.514630000000000226e-02 1.809227000000000116e+05
5.539605999999999697e-02 1.805392000000000116e+05
5.564580999999999694e-02 1.801596000000000058e+05
5.589555999999999691e-02 1.797837000000000116e+05
5.614530999999999689e-02 1.794116000000000058e+05
5.639505999999999686e-02 1.790432999999999884e+05
5.664480999999999683e-02 1.786787000000000116e+05
5.689455999999999680e-02 1.783177000000000116e+05
5.714430999999999677e-02 1.779605000000000000e+05
